date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES
2016-12-02,169.3135183599,37.046345759197,57.31845375094,108.87,114.96730522523,35.495996803835396,99.73,8.53,169.82009843968999,10.708341180592
2016-12-05,168.5181582145,37.564408114141,58.697645890664994,109.95,115.38878993191003,36.26138234119057,101.95,8.68,170.20936515176,10.86159114382
2016-12-06,168.69490491348,37.554633352726995,59.430643111777,112.94,116.06512585658999,36.480063923292064,101.55,9.45,172.98413812496997,10.852013021118
2016-12-07,172.86809086156998,37.613281921211,57.858556966496,116.65,119.16254835221001,37.22556931681982,103.36,9.56,176.44761374261,11.12977857947
2016-12-08,172.70116342365003,37.808777149492,58.736224691776,118.08,119.3291818409,37.1659288853376,103.5,10.34,176.18810260123,11.340497278908998
2016-12-09,175.26399055883,38.317064743022,59.353485509555,116.92,120.86809111878999,36.56952457051538,104.31,10.34,175.24987001317,11.417122260523
2016-12-12,176.39320558008,38.317064743022,59.835720523445,119.06,121.16215021647,36.94724730323612,105.16,10.68,172.67472099486,11.503325364839
2016-12-13,175.59784543468,38.551659016958,59.787497022055994,118.66,122.91670283266001,37.09634838194168,106.15,10.54,171.54684564963,11.675731573471
2016-12-14,173.40815021956,37.945623809288,59.478866613166,119.2,121.20135809616,36.519824210946865,105.81,10.55,171.1875225308,11.436278505927
2016-12-15,172.83863307841,38.053146184843,59.81643112288901,118.67,122.08353538921999,36.768326008789465,105.1,10.86,172.5948714129,11.302184788102
2016-12-16,174.24278740917998,37.241840987478,60.009325128445,117.54,120.56423005118,36.251442269276865,103.55,10.66,171.58677044062,11.254294174593001
2016-12-19,174.93995494403998,37.476435261414,60.009325128445,116.77,121.20135809616,36.41048341989613,105.29,10.95,173.49317920998,11.340497278908998
2016-12-20,175.42109873569999,37.329813840204004,59.951456926778,113.1,121.64244674269,36.609284858170206,105.77,11.51,175.29977600189,11.436278505927
2016-12-21,175.2050749925,37.378687647274,59.266683207054996,113.56,115.56522539052,36.67886536156613,105.51,11.47,173.24364926635,11.474590996734
2016-12-22,175.96115809369,37.427561454344,59.469221912888,111.55,115.45740372136999,36.221622053535754,104.72,11.6,170.12843869802,11.283028542698
2016-12-23,175.51929134624,37.554633352726995,60.125061531778,112.38,115.15354265376001,36.281262485017976,105.02,11.58,170.62767116088997,11.235137929189
2016-12-27,175.68621878416,37.730579058179,60.279376736223,113.74,115.22215644321999,36.311082700759094,104.98,12.07,171.57621284035,11.359653524313
2016-12-28,174.8614008556,37.359138124446,60.057548629834,112.78,114.30077127047,36.211681981622064,103.77,11.55,170.15839264578997,11.148934824872999
2016-12-29,175.18543647039,37.447110977171995,60.501204842612,113.58,114.69285006738998,36.26138234119057,103.68,11.59,170.01860755618,11.206403561084
2016-12-30,175.34254464726,37.544858591313,60.395113139557,112.68,114.81047370646002,35.89359968038355,102.95,11.34,168.86038824232,11.12977857947
2017-01-03,174.83194307244,38.170443321811,60.192574433723,112.36,114.15374172163,36.42042349180983,103.48,11.43,170.33811633242,11.168091070276999
2017-01-04,175.0970631209,38.473460925646,61.041308058169,115.74,114.42819687946998,37.13610866959649,104.14,11.43,171.73596722847,11.072309843259001
2017-01-05,174.49808819659,38.805802813723,61.504253671503,114.81,112.71285214297,37.71263284059129,105.91,11.24,171.61615143738,10.928638002732
2017-01-06,175.00868977142,39.861477046439,61.523543072059,115.42,113.99691020286001,37.68281262485018,108.3,11.32,169.36960535445,11.321341033506
2017-01-09,174.0660407102,39.822378000783,61.92862048372599,117.11,112.72265411289,37.4740711146624,108.57,11.49,169.26975886187,11.043575475153999
2017-01-10,173.38851169744999,40.359989878555005,61.793594679837,112.24,112.78146593243,38.14999600479426,108.26,11.44,169.65916018292,10.852013021118
2017-01-11,174.67483489557,40.413751066332004,59.584958316222,111.27,113.82047474424999,38.96508190171794,108.99,11.2,173.16377207229,11.273450419997001
2017-01-12,174.23296814812,40.059589664583,59.721397540368,112.37,113.48720776687,38.895501398322025,108.59,10.76,174.20217559506,11.091466088663001
2017-01-13,174.18387184285,40.266183815603,60.413339319963995,115.67,114.63403824785,38.71658010387536,108.53,10.58,174.5216843713,11.225559806487999
2017-01-17,174.05622144913997,40.236670365457,60.286645754686006,114.02,113.73225701493999,38.71658010387536,108.0,9.82,172.73443215422,11.407544137822
2017-01-18,175.26399055883,40.098940931444,60.091732577334994,113.27,113.65384125556001,38.8458010387535,108.79,9.88,173.71292778145,11.426700383225
2017-01-19,175.45055651886003,39.744779529694,59.818854129043,112.21,113.21275260903,38.62711945665202,109.79,9.77,171.45639704926,11.235137929189
2017-01-20,175.26399055883,39.803806429985,59.594703975089,111.84,112.79126790235,38.73646024770276,110.71,9.75,171.2367347656,10.928638002732
2017-01-23,175.28362908094,39.685752629401996,59.409536456606,111.57,112.54621865428001,38.299097083499795,110.97,9.91,167.52244524181998,10.746653671398999
2017-01-24,172.78953677314,39.656239179256,59.039201419639,112.3,114.17334566147,38.86568118258091,113.72,10.44,168.03166235395,10.890325511925
2017-01-25,173.53580061327,39.656239179256,59.818854129043,114.82,115.24176038306999,39.32292449061127,114.25,10.35,167.24287506261,10.890325511925
