date,top1,top2,top3
2017-06-05,AMD,ACN,ABBV
2017-06-06,AMD,AES,ABBV
2017-06-07,AMD,ABBV,ATVI
2017-06-08,AMD,ABMD,MMM
2017-06-09,AAP,AES,ABBV
2017-06-12,AAP,ACN,AES
2017-06-13,ATVI,AES,ADBE
2017-06-14,ABBV,ABMD,ATVI
2017-06-15,ABT,ATVI,MMM
2017-06-16,MMM,ABBV,ACN
2017-06-19,AMD,ATVI,ADBE
2017-06-20,AMD,ADBE,MMM
2017-06-21,AMD,ADBE,ATVI
2017-06-22,AMD,ABBV,ABT
2017-06-23,ADBE,ACN,MMM
2017-06-26,AAP,AES,ABBV
2017-06-27,AAP,ACN,ABBV
2017-06-28,ABMD,ACN,ATVI
2017-06-29,ABT,AAP,ABBV
2017-06-30,ABMD,ACN,AAP
2017-07-03,AAP,MMM,ABT
2017-07-05,AMD,ADBE,ATVI
2017-07-06,ADBE,MMM,ACN
2017-07-07,AMD,ATVI,ABMD
2017-07-10,AMD,AES,ADBE
2017-07-11,ABMD,AMD,ABBV
2017-07-12,ATVI,AMD,ADBE
2017-07-13,AAP,ABBV,ACN
2017-07-14,AMD,ABT,ABMD
2017-07-17,AES,ADBE,MMM
2017-07-18,ATVI,AES,ADBE
2017-07-19,ABT,ABBV,AES
2017-07-20,ABT,AAP,AMD
2017-07-21,AAP,ABBV,AMD
2017-07-24,ABMD,AMD,ATVI
2017-07-25,AAP,ACN,ABMD
2017-07-26,AMD,ATVI,AAP
2017-07-27,AAP,MMM,AES
2017-07-28,ABMD,ATVI,ADBE
2017-07-31,AES,AAP,ABMD
2017-08-01,AAP,AES,MMM
2017-08-02,MMM,ABBV,AAP
2017-08-03,ATVI,ACN,MMM
2017-08-04,ABMD,AAP,ABT
2017-08-07,AMD,ABMD,ABBV
2017-08-08,AES,ABMD,ABBV
2017-08-09,ABBV,ACN,ADBE
2017-08-10,AES,MMM,ACN
2017-08-11,AAP,ADBE,ABT
2017-08-14,AMD,ABMD,ATVI
2017-08-15,AMD,ADBE,ABMD
2017-08-16,AAP,ABT,ATVI
2017-08-17,AAP,ABBV,ABMD
2017-08-18,ATVI,AES,AAP
2017-08-21,AAP,AES,ABBV
2017-08-22,ATVI,ADBE,ABT
2017-08-23,AMD,AES,ABT
2017-08-24,ABBV,AES,ACN
2017-08-25,AAP,ACN,ABBV
2017-08-28,ABT,ABBV,ATVI
2017-08-29,ATVI,ABBV,AAP
2017-08-30,AMD,ATVI,AAP
2017-08-31,AMD,ABMD,ABBV
2017-09-01,AMD,AES,ABT
2017-09-05,ATVI,ABBV,ACN
2017-09-06,ABBV,ACN,ABMD
2017-09-07,ABBV,ATVI,ACN
2017-09-08,ABBV,ABMD,ABT
2017-09-11,AMD,ABBV,ATVI
2017-09-12,AAP,ABBV,ABMD
2017-09-13,AAP,ABBV,ABMD
2017-09-14,MMM,ABBV,AMD
2017-09-15,AMD,MMM,AES
2017-09-18,AMD,ACN,ADBE
2017-09-19,ABBV,ADBE,AES
2017-09-20,AMD,ABBV,ATVI
2017-09-21,ABMD,ABBV,MMM
2017-09-22,ABMD,ABT,AAP
2017-09-25,AAP,AES,ABT
2017-09-26,ADBE,ABT,ABMD
2017-09-27,AMD,ATVI,ABMD
2017-09-28,ABBV,ABT,ATVI
2017-09-29,ABMD,ADBE,ATVI
2017-10-02,ABBV,MMM,ABMD
2017-10-03,AMD,AES,MMM
2017-10-04,ABMD,ABT,MMM
2017-10-05,ADBE,ABMD,ABT
2017-10-06,ABMD,ADBE,ABBV
2017-10-09,AMD,ACN,ABBV
2017-10-10,AMD,ABT,AAP
2017-10-11,ABBV,AMD,ADBE
2017-10-12,AMD,ACN,ATVI
2017-10-13,ABMD,AES,ADBE
2017-10-16,ATVI,AAP,MMM
2017-10-17,AAP,ABBV,ABMD
2017-10-18,ABBV,ADBE,ABT
2017-10-19,ADBE,AES,ACN
2017-10-20,ADBE,ABMD,ATVI
2017-10-23,AMD,ABMD,MMM
2017-10-24,MMM,ATVI,AMD
2017-10-25,ACN,MMM,ABT
2017-10-26,ABMD,AAP,ADBE
2017-10-27,ATVI,ABBV,ADBE
2017-10-30,ATVI,AAP,ACN
2017-10-31,ABMD,AMD,ATVI
2017-11-01,ABBV,ADBE,ACN
2017-11-02,ADBE,AES,AAP
2017-11-03,ABMD,AMD,ABT
2017-11-06,AMD,ABMD,ACN
2017-11-07,ABBV,AES,AMD
2017-11-09,ATVI,ABBV,AAP
2017-11-10,AMD,AAP,ACN
2017-11-13,AES,AAP,ATVI
2017-11-14,AAP,ACN,ATVI
2017-11-15,AES,ABT,ABMD
2017-11-16,ATVI,ACN,AMD
2017-11-17,AMD,MMM,ABT
2017-11-20,AAP,MMM,ACN
2017-11-21,ABMD,ABT,ABBV
2017-11-22,ATVI,AAP,AES
2017-11-24,ATVI,ADBE,ABT
2017-11-27,AMD,ABBV,AAP
2017-11-28,AAP,MMM,ACN
2017-11-29,AAP,ABBV,AES
2017-11-30,ADBE,ABT,ABBV
2017-12-01,AES,ABMD,ABBV
2017-12-04,AAP,AES,ACN
2017-12-05,ATVI,MMM,ACN
2017-12-06,ADBE,ATVI,AES
2017-12-07,ATVI,ADBE,ABMD
2017-12-08,AAP,ABMD,ABBV
2017-12-11,AMD,ATVI,ABMD
2017-12-12,AAP,ATVI,ABT
2017-12-13,ADBE,AMD,ABBV
2017-12-14,ATVI,AMD,ACN
2017-12-15,ATVI,AMD,AES
2017-12-18,AMD,AAP,ABT
2017-12-19,ABMD,ABT,ACN
2017-12-20,ABT,AMD,ABMD
2017-12-21,ACN,AAP,ATVI
2017-12-22,AES,ABMD,AAP
2017-12-26,AAP,ABT,ADBE
2017-12-27,ABT,AMD,ADBE
2017-12-28,AES,AMD,ACN
2017-12-29,AES,AAP,ATVI
