date,adj_close,open,close
2016-07-18,97.79,97.74,97.79
2016-07-19,97.79,97.11,97.79
2016-07-20,98.4,98.16,98.4
2016-07-21,96.34,98.12,96.34
2016-07-22,98.06,96.71,98.06
2016-07-25,97.32,97.75,97.32
2016-07-26,97.91,97.81,97.91
2016-07-27,97.93,97.59,97.93
2016-07-28,98.44,97.92,98.44
2016-07-29,97.86,98.4,97.86
2016-08-01,97.72,97.75,97.72
2016-08-02,96.05,97.38,96.05
2016-08-03,96.67,96.06,96.67
2016-08-04,97.09,96.5,97.09
2016-08-05,99.04,97.36,99.04
2016-08-08,98.49,98.86,98.49
2016-08-09,98.87,98.71,98.87
2016-08-10,100.62,99.13,100.62
2016-08-11,101.67,100.85,101.67
2016-08-12,101.04,100.98,101.04
2016-08-15,100.93,101.38,100.93
2016-08-16,100.6,100.52,100.6
2016-08-17,99.7,100.65,99.7
2016-08-18,100.67,99.6,100.67
2016-08-19,100.32,100.31,100.32
2016-08-22,100.24,100.32,100.24
2016-08-23,101.14,100.46,101.14
2016-08-24,101.14,101.0,101.14
2016-08-25,101.69,101.15,101.69
2016-08-26,102.06,101.68,102.06
2016-08-29,102.3,101.85,102.3
2016-08-30,102.0,102.09,102.0
2016-08-31,102.31,101.66,102.31
2016-09-01,102.9,102.23,102.9
2016-09-02,103.57,103.49,103.57
2016-09-06,103.5,103.33,103.5
2016-09-07,103.0,103.47,103.0
2016-09-08,101.88,102.77,101.88
2016-09-09,99.38,100.97,99.38
2016-09-12,100.32,99.18,100.32
2016-09-13,98.77,99.92,98.77
2016-09-14,98.79,98.95,98.79
2016-09-15,99.62,98.84,99.62
2016-09-16,98.93,99.26,98.93
2016-09-19,99.68,99.21,99.68
2016-09-20,100.62,100.16,100.62
2016-09-21,107.78,106.54,107.78
2016-09-22,107.92,107.46,107.92
2016-09-23,107.47,107.21,107.47
2016-09-26,107.26,106.91,107.26
2016-09-27,109.7,106.99,109.7
2016-09-28,109.49,109.48,109.49
2016-09-29,107.8,109.5,107.8
2016-09-30,108.54,108.15,108.54
2016-10-03,108.45,108.41,108.45
2016-10-04,108.39,108.52,108.39
2016-10-05,108.8,108.57,108.8
2016-10-06,108.56,108.72,108.56
2016-10-07,108.64,109.07,108.64
2016-10-10,109.24,109.15,109.24
2016-10-11,107.37,109.0,107.37
2016-10-12,108.05,108.42,108.05
2016-10-13,108.01,107.13,108.01
2016-10-14,107.84,108.19,107.84
2016-10-17,107.49,108.0,107.49
2016-10-18,108.42,108.44,108.42
2016-10-19,108.39,108.81,108.39
2016-10-20,109.03,108.41,109.03
2016-10-21,109.03,108.51,109.03
2016-10-24,110.81,109.63,110.81
2016-10-25,109.03,110.76,109.03
2016-10-26,107.97,108.74,107.97
2016-10-27,107.07,108.47,107.07
2016-10-28,107.6,107.08,107.6
2016-10-31,107.51,108.02,107.51
2016-11-01,106.87,107.79,106.87
2016-11-02,105.89,106.85,105.89
2016-11-03,107.17,106.54,107.17
2016-11-04,106.2,105.85,106.2
2016-11-07,108.66,107.66,108.66
2016-11-08,108.39,108.68,108.39
2016-11-09,107.86,105.55,107.86
2016-11-10,104.08,108.08,104.08
2016-11-11,103.68,103.62,103.68
2016-11-14,102.42,104.12,102.42
2016-11-15,103.66,103.14,103.66
2016-11-16,104.08,103.61,104.08
2016-11-17,105.81,103.77,105.81
2016-11-18,105.02,106.19,105.02
2016-11-21,105.65,105.56,105.65
2016-11-22,105.21,105.85,105.21
2016-11-23,104.21,105.41,104.21
2016-11-25,105.02,104.17,105.02
2016-11-28,104.5,104.81,104.5
2016-11-29,104.95,104.27,104.95
2016-11-30,102.81,94.815,102.81
2016-12-01,99.51,102.82,99.51
2016-12-02,99.73,99.52,99.73
2016-12-05,101.95,100.46,101.95
2016-12-06,101.55,101.99,101.55
2016-12-07,103.36,100.89,103.36
2016-12-08,103.5,103.36,103.5
2016-12-09,104.31,104.0,104.31
2016-12-12,105.16,104.62,105.16
2016-12-13,106.15,105.74,106.15
2016-12-14,105.81,106.3,105.81
2016-12-15,105.1,106.33,105.1
2016-12-16,103.55,107.8,103.55
2016-12-19,105.29,103.57,105.29
2016-12-20,105.77,105.5,105.77
2016-12-21,105.51,105.74,105.51
2016-12-22,104.72,105.12,104.72
2016-12-23,105.02,104.61,105.02
2016-12-27,104.98,105.0,104.98
2016-12-28,103.77,104.83,103.77
2016-12-29,103.68,103.63,103.68
2016-12-30,102.95,104.07,102.95
2017-01-03,103.48,103.43,103.48
2017-01-04,104.14,103.74,104.14
2017-01-05,105.91,104.13,105.91
2017-01-06,108.3,105.98,108.3
2017-01-09,108.57,107.96,108.57
2017-01-10,108.26,108.57,108.26
2017-01-11,108.99,108.23,108.99
2017-01-12,108.59,107.99,108.59
2017-01-13,108.53,108.84,108.53
2017-01-17,108.0,107.79,108.0
2017-01-18,108.79,108.5,108.79
2017-01-19,109.79,108.63,109.79
2017-01-20,110.71,110.02,110.71
2017-01-23,110.97,110.71,110.97
2017-01-24,113.72,111.46,113.72
2017-01-25,114.25,113.77,114.25
2017-01-26,112.88,113.79,112.88
2017-01-27,113.99,113.07,113.99
2017-01-30,113.82,113.22,113.82
2017-01-31,113.38,113.22,113.38
2017-02-01,113.36,113.31,113.36
2017-02-02,113.16,112.82,113.16
2017-02-03,115.17,113.55,115.17
2017-02-06,114.46,114.68,114.46
2017-02-07,114.96,114.83,114.96
2017-02-08,116.13,115.0,116.13
2017-02-09,116.44,116.26,116.44
2017-02-10,116.85,116.51,116.85
2017-02-13,117.65,117.03,117.65
2017-02-14,117.58,117.65,117.58
2017-02-15,118.73,117.33,118.73
2017-02-16,118.93,118.84,118.93
2017-02-17,119.67,118.79,119.67
2017-02-21,119.63,119.73,119.63
2017-02-22,119.47,119.67,119.47
2017-02-23,118.83,120.1,118.83
2017-02-24,119.31,118.3,119.31
2017-02-27,118.78,119.02,118.78
2017-02-28,118.34,118.83,118.34
2017-03-01,120.35,119.24,120.35
2017-03-02,119.9,120.09,119.9
2017-03-03,120.04,119.83,120.04
2017-03-06,120.15,119.73,120.15
2017-03-07,119.98,120.06,119.98
2017-03-08,119.6,120.21,119.6
2017-03-09,119.91,119.82,119.91
2017-03-10,121.09,120.57,121.09
2017-03-13,121.8,121.11,121.8
2017-03-14,121.44,121.65,121.44
2017-03-15,122.11,122.0,122.11
2017-03-16,122.35,123.25,122.35
2017-03-17,127.01,128.45,127.01
2017-03-20,126.31,126.99,126.31
2017-03-21,125.07,126.64,125.07
2017-03-22,126.21,124.6,126.21
2017-03-23,126.87,126.2,126.87
2017-03-24,127.7,127.86,127.7
2017-03-27,128.25,127.48,128.25
2017-03-28,128.69,127.81,128.69
2017-03-29,129.58,128.4,129.58
2017-03-30,129.61,129.55,129.61
2017-03-31,130.13,129.57,130.13
2017-04-03,129.59,129.585,129.59
2017-04-04,130.04,129.47,130.04
2017-04-05,129.89,130.58,129.89
2017-04-06,130.15,129.86,130.15
2017-04-07,130.22,130.15,130.22
2017-04-10,130.16,130.32,130.16
2017-04-11,129.95,129.91,129.95
2017-04-12,129.38,129.96,129.38
2017-04-13,129.05,129.63,129.05
2017-04-17,129.99,129.69,129.99
2017-04-18,129.81,129.74,129.81
2017-04-19,130.22,129.9,130.22
2017-04-20,131.42,130.7,131.42
2017-04-21,131.52,131.84,131.52
2017-04-24,132.89,132.94,132.89
2017-04-25,133.49,133.44,133.49
2017-04-26,132.79,133.5,132.79
2017-04-27,133.38,133.13,133.38
2017-04-28,133.74,133.4,133.74
2017-05-01,135.11,134.3,135.11
2017-05-02,135.0,135.54,135.0
2017-05-03,134.85,134.99,134.85
2017-05-04,134.61,135.13,134.61
2017-05-05,134.84,135.19,134.84
2017-05-08,135.0675,135.36,135.0675
2017-05-09,135.59,135.33,135.59
2017-05-10,136.15,135.86,136.15
2017-05-11,136.29,135.98,136.29
2017-05-12,136.84,136.45,136.84
2017-05-15,137.6,137.13,137.6
2017-05-16,138.03,138.06,138.03
2017-05-17,134.37,137.2,134.37
2017-05-18,134.54,132.77,134.54
2017-05-19,136.43,135.18,136.43
2017-05-22,138.85,137.38,138.85
2017-05-23,139.52,139.16,139.52
2017-05-24,141.12,140.18,141.12
2017-05-25,142.85,142.16,142.85
2017-05-26,141.89,142.93,141.89
2017-05-30,142.41,141.8,142.41
2017-05-31,141.86,143.04,141.86
2017-06-01,141.38,141.64,141.38
2017-06-02,143.48,142.12,143.48
